Results - Estimator for roll and pitch angles

Data format:
Timestamp [s]:  Roll [deg]   ,   Pitch [deg]
60.431 s:       -179.707     ,     -15.136
60.441 s:       -179.527     ,     -15.200
60.451 s:       -179.282     ,     -14.863
60.461 s:       -179.880     ,     -14.643
60.471 s:       179.701     ,     -14.864
60.481 s:       180.000     ,     -14.815
60.491 s:       179.940     ,     -15.073
60.501 s:       -179.642     ,     -14.805
60.511 s:       -179.822     ,     -14.883
60.521 s:       -179.881     ,     -15.064
60.531 s:       -179.882     ,     -14.906
60.541 s:       179.762     ,     -14.902
60.551 s:       179.819     ,     -15.183
60.561 s:       179.761     ,     -14.864
60.571 s:       179.702     ,     -15.209
60.581 s:       179.940     ,     -14.755
60.591 s:       -179.159     ,     -14.190
60.601 s:       179.820     ,     -14.939
60.611 s:       179.463     ,     -14.931
60.621 s:       179.881     ,     -14.887
60.631 s:       179.639     ,     -15.010
60.641 s:       -179.761     ,     -14.570
60.651 s:       -179.461     ,     -15.087
60.661 s:       -179.228     ,     -14.967
60.671 s:       -179.762     ,     -15.124
60.681 s:       -179.646     ,     -14.810
60.691 s:       179.333     ,     -14.761
60.701 s:       179.567     ,     -14.356
60.711 s:       179.452     ,     -14.136
60.721 s:       179.697     ,     -14.576
60.731 s:       -179.643     ,     -14.567
60.741 s:       -179.821     ,     -14.972
60.751 s:       -179.465     ,     -15.275
60.761 s:       -179.880     ,     -15.387
60.771 s:       179.820     ,     -15.092
60.781 s:       180.000     ,     -15.414
60.791 s:       179.939     ,     -14.890
60.801 s:       -179.819     ,     -15.505
60.811 s:       -179.821     ,     -15.462
60.821 s:       -179.759     ,     -15.642
60.831 s:       180.000     ,     -15.945
60.841 s:       180.000     ,     -16.026
60.851 s:       179.753     ,     -16.296
60.861 s:       -179.940     ,     -16.439
60.871 s:       -179.522     ,     -16.951
60.881 s:       180.000     ,     -17.402
60.891 s:       179.880     ,     -17.782
60.901 s:       179.442     ,     -18.061
60.911 s:       179.246     ,     -17.714
60.921 s:       179.503     ,     -18.041
60.931 s:       179.817     ,     -18.800
60.941 s:       -179.820     ,     -19.311
60.951 s:       -179.757     ,     -19.880
60.961 s:       179.876     ,     -20.173
60.971 s:       179.441     ,     -20.535
60.981 s:       179.691     ,     -20.900
60.991 s:       179.694     ,     -21.230
61.001 s:       179.755     ,     -21.685
61.011 s:       179.750     ,     -21.801
61.021 s:       179.249     ,     -21.692
61.031 s:       179.313     ,     -22.240
61.041 s:       179.256     ,     -22.109
61.051 s:       179.625     ,     -22.477
61.061 s:       179.688     ,     -22.805
61.071 s:       179.309     ,     -23.545
61.081 s:       179.307     ,     -23.432
61.091 s:       178.993     ,     -24.222
61.101 s:       179.372     ,     -24.726
61.111 s:       179.625     ,     -25.095
61.121 s:       179.435     ,     -25.472
61.131 s:       179.182     ,     -25.725
61.141 s:       178.858     ,     -25.793
61.151 s:       179.235     ,     -25.792
61.161 s:       179.109     ,     -26.076
61.171 s:       179.555     ,     -26.258
61.181 s:       179.558     ,     -26.665
61.191 s:       179.117     ,     -26.739
61.201 s:       179.042     ,     -27.122
61.211 s:       178.913     ,     -27.349
61.221 s:       179.047     ,     -27.194
61.231 s:       179.176     ,     -27.544
61.241 s:       179.043     ,     -27.700
61.251 s:       179.098     ,     -27.534
61.261 s:       178.842     ,     -27.252
61.271 s:       178.641     ,     -27.382
61.281 s:       178.710     ,     -27.354
61.291 s:       178.973     ,     -27.252
61.301 s:       179.094     ,     -27.488
61.311 s:       178.974     ,     -27.327
61.321 s:       179.160     ,     -27.360
61.331 s:       179.225     ,     -27.537
61.341 s:       178.904     ,     -27.610
61.351 s:       179.157     ,     -27.643
61.361 s:       178.706     ,     -27.536
61.371 s:       179.036     ,     -27.278
61.381 s:       179.035     ,     -27.203
61.391 s:       179.163     ,     -27.203
61.401 s:       179.019     ,     -26.901
61.411 s:       179.020     ,     -27.289
61.421 s:       179.091     ,     -27.465
61.431 s:       179.032     ,     -27.560
61.441 s:       179.362     ,     -27.501
61.451 s:       179.354     ,     -27.538
61.461 s:       179.354     ,     -27.385
61.471 s:       179.219     ,     -27.263
61.481 s:       179.093     ,     -27.259
61.491 s:       179.030     ,     -27.154
61.501 s:       179.163     ,     -27.152
61.511 s:       179.219     ,     -27.004
61.521 s:       179.090     ,     -27.389
61.531 s:       179.029     ,     -27.385
61.541 s:       178.899     ,     -27.411
61.551 s:       179.224     ,     -27.360
61.561 s:       179.158     ,     -27.413
61.571 s:       179.090     ,     -27.645
61.581 s:       178.897     ,     -27.591
61.591 s:       178.892     ,     -27.493
61.601 s:       178.956     ,     -27.314
61.611 s:       179.023     ,     -27.545
61.621 s:       179.028     ,     -27.514
